Season,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Score,Year
2007-08,3.6,8.3,0.428,0.6,1.7,0.33,3,6.6,0.453,0.462,1.7,2.3,0.732,0.4,2.2,2.6,4.2,0.8,0,1.7,1.6,9.4,27,1
2008-09,3.9,8.9,0.442,1.1,2.6,0.406,2.9,6.3,0.458,0.503,2,2.4,0.817,0.3,3.1,3.4,4.3,1.1,0.1,1.7,1.8,10.9,27,2
2009-10,4.6,10.4,0.445,1,2.7,0.387,3.6,7.7,0.464,0.494,1.7,2.3,0.743,0.4,2,2.4,5.3,1.4,0.2,2.1,2.2,12,27,3
1994-95,4.2,10.8,0.385,0.9,3.3,0.272,3.3,7.6,0.433,0.426,2.4,3.5,0.698,1.9,3.5,5.4,7.7,1.9,0.3,3.2,1.8,11.7,18,1
1995-96,6.1,16,0.381,1.6,4.9,0.336,4.4,11.1,0.401,0.433,2.8,4.1,0.692,2.5,4.3,6.8,9.7,2.2,0.3,4,1.9,16.6,18,2
1996-97,3.9,9.6,0.403,1.1,3,0.37,2.8,6.6,0.418,0.46,2,3,0.679,1.2,3.4,4.5,9,2.3,0.4,2.6,2.1,10.9,18,3
2011-12,6.9,14.6,0.469,1.4,3.6,0.399,5.4,11.1,0.491,0.517,3.4,3.8,0.872,0.9,2.9,3.7,5.4,1.1,0.4,3.1,2.2,18.5,22,1
2012-13,8.2,18.1,0.452,1.8,4.7,0.391,6.4,13.4,0.474,0.503,4.2,4.9,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,22.5,22,2
2013-14,7.5,17.4,0.43,1.7,4.8,0.358,5.8,12.6,0.458,0.48,4.1,4.8,0.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,2.3,20.8,22,3
2005-06,5.2,12.1,0.43,0.6,2.3,0.282,4.6,9.9,0.464,0.456,5.1,6,0.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1,18,1
2006-07,6,13.6,0.437,0.8,2.2,0.35,5.2,11.4,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0,2.5,2.4,17.3,18,2
2007-08,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4,11.6,2.7,0.1,2.5,2.3,21.1,18,3
2012-13,5,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,0.477,2.2,2.8,0.786,0.8,3,3.8,2.4,0.9,0.5,1.6,2,13.9,18,1
2013-14,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11,0.426,0.479,2,2.6,0.788,0.7,3,3.7,3.3,1,0.2,1.8,2.1,17.1,18,2
2014-15,5.8,13.5,0.427,1.7,4.1,0.409,4.1,9.4,0.434,0.489,2.1,2.6,0.783,0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3,18,3
2016-17,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,17,1
2005-06,4.3,11,0.391,1.2,3.4,0.358,3.1,7.7,0.405,0.446,2,2.8,0.725,1,2.4,3.3,5.6,1.3,0.1,2.3,2.3,11.9,16,1
2006-07,5,13.1,0.384,1.3,4,0.33,3.7,9.1,0.407,0.434,2.6,3.3,0.797,0.7,2.8,3.4,7,1.5,0.1,2.9,2.3,14,16,2
2007-08,5.2,12.6,0.413,0.7,2.5,0.28,4.5,10.1,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3,7.4,1.2,0.2,2.7,2.3,14.4,16,3
2008-09,5.3,13.4,0.398,0.4,1.6,0.271,4.9,11.8,0.415,0.414,4.3,5.2,0.815,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3,14,1
2009-10,5.9,14.1,0.418,0.3,1.3,0.221,5.6,12.9,0.438,0.428,4,5.1,0.78,1.7,3.1,4.9,8,1.3,0.4,3.3,2.5,16.1,14,2
2010-11,7.5,17,0.442,0.4,1.3,0.33,7.1,15.7,0.451,0.454,6.5,7.7,0.842,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5,21.9,14,3
