Player,Season,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Score,Year
Jamal Murray,2016-17,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,63,1
Austin Rivers,2012-13,2.4,6.4,0.372,0.5,1.4,0.326,1.9,5,0.385,0.408,1,1.8,0.546,0.3,1.5,1.8,2.1,0.4,0.1,1.2,2,6.2,62,1
Austin Rivers,2013-14,2.8,6.9,0.405,0.5,1.4,0.364,2.3,5.4,0.416,0.443,1.6,2.5,0.636,0.4,1.5,1.9,2.3,0.7,0.1,1.1,1.9,7.7,62,2
Austin Rivers,2014-15,2.7,6.5,0.409,0.5,1.7,0.298,2.2,4.8,0.449,0.449,1.1,1.7,0.675,0.4,1.6,2,2,0.6,0.2,0.9,1.9,7,62,3
Brandon Knight,2011-12,4.8,11.7,0.415,1.6,4.2,0.38,3.2,7.5,0.434,0.483,1.6,2.1,0.759,0.5,2.7,3.2,3.8,0.7,0.2,2.6,2.3,12.8,56,1
Brandon Knight,2012-13,4.8,11.7,0.407,1.6,4.4,0.367,3.2,7.3,0.43,0.475,2.2,3,0.733,0.7,2.6,3.3,4,0.8,0.1,2.7,2.1,13.3,56,2
Brandon Knight,2013-14,6.4,15.2,0.422,1.5,4.7,0.325,4.9,10.5,0.466,0.473,3.6,4.5,0.802,0.6,2.9,3.5,4.9,1,0.2,2.6,2,17.9,56,3
James Young,2014-15,1.2,3.3,0.353,0.5,2.1,0.258,0.6,1.2,0.528,0.436,0.5,0.9,0.552,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,3.4,49,1
James Young,2015-16,0.4,1.2,0.306,0.2,0.9,0.231,0.2,0.3,0.5,0.389,0,0.1,0.25,0.1,0.8,0.9,0.3,0.2,0,0.2,0.6,1,49,2
James Young,2016-17,0.9,2,0.431,0.4,1.2,0.343,0.4,0.8,0.565,0.534,0.2,0.3,0.667,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3,49,3
Jeremy Lamb,2012-13,1,3,0.353,0.4,1.3,0.3,0.7,1.7,0.395,0.419,0.6,0.6,1,0.2,0.6,0.8,0.2,0.1,0.1,0.3,0.6,3.1,49,1
Jeremy Lamb,2013-14,3.4,7.8,0.432,1.1,3.2,0.356,2.2,4.6,0.483,0.504,0.7,0.8,0.797,0.3,2.1,2.4,1.5,0.7,0.3,0.8,1.8,8.5,49,2
Jeremy Lamb,2014-15,2.2,5.3,0.416,0.8,2.4,0.342,1.4,3,0.475,0.492,1,1.2,0.891,0.2,2.1,2.3,0.9,0.4,0.1,0.6,1.1,6.3,49,3
Ben McLemore,2013-14,3.1,8.3,0.376,1.2,3.6,0.32,2,4.7,0.419,0.446,1.4,1.7,0.804,0.6,2.2,2.9,1,0.5,0.2,1.2,2.5,8.8,49,1
Ben McLemore,2014-15,4.4,10.1,0.437,1.7,4.8,0.358,2.7,5.4,0.507,0.521,1.6,2,0.813,0.4,2.6,2.9,1.7,0.9,0.2,1.7,2.7,12.1,49,2
Ben McLemore,2015-16,2.9,6.7,0.429,1,2.7,0.362,1.9,4,0.474,0.502,1.1,1.5,0.718,0.5,1.7,2.2,1.2,0.8,0.1,1.5,2.1,7.8,49,3
Malik Beasley,2016-17,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2,0.533,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0,0.4,0.5,3.8,48,1
Rashad Vaughn,2015-16,1.2,3.8,0.305,0.6,2.1,0.293,0.5,1.7,0.319,0.385,0.2,0.2,0.8,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1,3.1,48,1
Rashad Vaughn,2016-17,1.4,3.8,0.365,0.6,2,0.321,0.8,1.8,0.413,0.449,0,0.1,0.4,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,48,2
Avery Bradley,2011-12,3.1,6.3,0.498,0.3,0.8,0.407,2.8,5.4,0.511,0.525,1,1.2,0.795,0.5,1.3,1.8,1.4,0.7,0.2,1.2,1.7,7.6,45,1
Avery Bradley,2012-13,3.8,9.6,0.402,0.8,2.5,0.317,3,7,0.432,0.444,0.7,1,0.755,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,9.2,45,2
Avery Bradley,2013-14,6,13.8,0.438,1.3,3.3,0.395,4.7,10.4,0.451,0.485,1.5,1.9,0.804,0.8,3,3.8,1.4,1.1,0.2,1.6,2.4,14.9,45,3
Jerryd Bayless,2008-09,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.383,0.384,1.6,1.9,0.806,0.2,0.9,1.1,1.5,0.3,0,1.1,1.5,4.3,44,1
Jerryd Bayless,2009-10,2.7,6.5,0.414,0.4,1.2,0.315,2.3,5.3,0.437,0.444,2.7,3.3,0.831,0.2,1.4,1.6,2.3,0.4,0.1,1.3,2.1,8.5,44,2
Jerryd Bayless,2010-11,3.1,7.3,0.422,0.7,2.1,0.336,2.4,5.2,0.456,0.469,2.3,2.9,0.806,0.4,2,2.3,3.7,0.5,0.1,1.8,2.1,9.2,44,3
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
