Player,Season,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Score,Year
Alonzo Mourning,1993-94,7.1,14.1,0.505,0,0,0,7.1,14.1,0.507,0.505,7.2,9.5,0.762,3,7.2,10.2,1.4,0.5,3.1,3.3,3.5,21.5,12,1
Alonzo Mourning,1994-95,7.4,14.3,0.519,0.1,0.4,0.324,7.3,13.9,0.525,0.524,6.4,8.4,0.761,2.6,7.3,9.9,1.4,0.6,2.9,3.1,3.6,21.3,12,2
Alonzo Mourning,1995-96,8,15.4,0.523,0.1,0.4,0.3,7.9,14.9,0.53,0.527,7,10.2,0.685,3.1,7.3,10.4,2.3,1,2.7,3.7,3.5,23.2,12,3
Marcus Camby,1997-98,4.9,11.9,0.412,0,0,0,4.9,11.8,0.413,0.412,2.4,3.9,0.611,3.2,4.2,7.4,1.8,1.1,3.7,2.1,3.2,12.1,11,1
Marcus Camby,1998-99,3,5.7,0.521,0,0,,3,5.7,0.521,0.521,1.2,2.2,0.553,2.2,3.3,5.5,0.3,0.6,1.6,0.8,2.8,7.2,11,2
Marcus Camby,1999-00,3.8,8,0.48,0,0,0.5,3.8,7.9,0.48,0.481,2.5,3.7,0.67,2.9,4.9,7.8,0.8,0.7,2,1.2,3.5,10.2,11,3
Anthony Randolph,2012-13,1.4,2.9,0.491,0,0.2,0,1.4,2.7,0.528,0.491,0.8,1.2,0.689,0.7,1.7,2.4,0.3,0.5,0.5,0.9,1.1,3.7,6,1
Anthony Randolph,2013-14,1.6,4.1,0.386,0.4,1.4,0.295,1.2,2.7,0.435,0.438,1.2,1.6,0.754,0.5,2.4,2.8,0.7,0.6,0.4,0.9,1.5,4.8,6,2
Anthony Davis,2015-16,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,4,1
Anthony Davis,2016-17,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28,4,2
Bison Dele,1992-93,1.9,3.7,0.513,0,0,0,1.9,3.7,0.519,0.513,0.8,1,0.8,1.1,1.5,2.7,0.2,0.7,0.8,1.2,2.3,4.6,3,1
Bison Dele,1993-94,3.1,5.8,0.541,0,0,0,3.1,5.8,0.544,0.541,1.7,2.6,0.649,1.7,3.9,5.6,0.6,0.6,1.1,1.3,2.8,8,3,2
Bison Dele,1994-95,3.1,5.3,0.589,0,0,,3.1,5.3,0.589,0.589,1.7,2.6,0.654,1.6,3.2,4.7,0.8,0.6,0.7,1.8,3.3,7.9,3,3
Zydrunas Ilgauskas,2001-02,3.9,9.1,0.425,0,0.1,0,3.9,9.1,0.429,0.425,3.4,4.5,0.754,2.2,3.2,5.4,1.1,0.3,1.4,1.5,3,11.1,3,1
Zydrunas Ilgauskas,2002-03,6.1,13.9,0.441,0,0.1,0,6.1,13.8,0.443,0.441,4.9,6.3,0.781,3,4.6,7.5,1.6,0.7,1.9,2.6,3.4,17.2,3,2
Zydrunas Ilgauskas,2003-04,5.8,11.9,0.483,0,0.1,0.286,5.7,11.8,0.484,0.484,3.7,5,0.746,3.4,4.6,8.1,1.3,0.5,2.5,2,3.4,15.3,3,3
Yao Ming,2003-04,6.5,12.5,0.522,0,0,0,6.5,12.5,0.523,0.522,4.4,5.4,0.809,2.4,6.6,9,1.5,0.3,1.9,2.5,3.3,17.5,2,1
Yao Ming,2004-05,6.7,12.2,0.552,0,0,,6.7,12.2,0.552,0.552,4.9,6.2,0.783,2.6,5.8,8.4,0.8,0.4,2,2.5,3.7,18.3,2,2
Yao Ming,2005-06,8.2,15.8,0.519,0,0,0,8.2,15.8,0.519,0.519,5.9,6.9,0.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4,22.3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
