Player,Season,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Score,Year
BJ Mullens,2010-11,0.7,2.2,0.321,0,0,,0.7,2.2,0.321,0.321,0.5,1.1,0.5,0.5,1.4,1.8,0,0.2,0.2,0.6,0.8,1.9,52,1
BJ Mullens,2011-12,3.9,9.1,0.425,0.2,0.8,0.235,3.7,8.3,0.443,0.435,1.4,1.7,0.821,1.5,3.6,5,0.9,0.3,0.8,1.1,2.1,9.3,52,2
BJ Mullens,2012-13,4.1,10.6,0.385,1.2,3.9,0.317,2.8,6.7,0.425,0.444,1.2,1.9,0.646,1.3,5,6.4,1.5,0.6,0.6,1.4,2.1,10.6,52,3
DeAndre Jordan,2008-09,1.8,2.8,0.633,0,0,,1.8,2.8,0.633,0.633,0.8,2.1,0.385,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1.8,4.3,48,1
DeAndre Jordan,2009-10,2.1,3.4,0.605,0,0,0,2.1,3.4,0.61,0.605,0.7,1.8,0.375,1.7,3.3,5,0.3,0.2,0.9,1.1,2.2,4.8,48,2
DeAndre Jordan,2010-11,2.9,4.3,0.686,0,0,0,2.9,4.3,0.688,0.686,1.2,2.7,0.452,2.6,4.6,7.2,0.5,0.5,1.8,1.3,3.2,7.1,48,3
Cedric Simmons,2006-07,1.3,3.1,0.417,0,0,,1.3,3.1,0.417,0.417,0.4,0.8,0.485,1,1.5,2.5,0.3,0.2,0.5,0.5,1.7,2.9,40,1
Cedric Simmons,2007-08,0.3,1,0.286,0,0,,0.3,1,0.286,0.286,0,0.7,0,0.4,0.9,1.3,0,0.1,0.4,0.4,0.6,0.6,40,2
Cedric Simmons,2008-09,0.6,1.4,0.44,0,0,,0.6,1.4,0.44,0.44,0.4,0.9,0.438,0.3,0.6,0.9,0.1,0.1,0.2,0.1,0.4,1.6,40,3
Joel Embiid,2016-17,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,38,1
Jakob Poeltl,2016-17,1.2,2.1,0.583,0,0,,1.2,2.1,0.583,0.583,0.6,1.1,0.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,38,1
Tyrus Thomas,2006-07,1.9,3.9,0.475,0,0,0,1.9,3.9,0.479,0.475,1.5,2.4,0.606,1.2,2.5,3.7,0.6,0.6,1.1,1.3,2.3,5.2,37,1
Tyrus Thomas,2007-08,2.5,5.9,0.423,0,0.1,0.167,2.5,5.9,0.426,0.424,1.7,2.4,0.741,1.4,3.2,4.6,1.2,0.6,1,1,2.3,6.8,37,2
Tyrus Thomas,2008-09,3.9,8.6,0.451,0,0.1,0.333,3.9,8.5,0.453,0.453,3,3.8,0.783,1.9,4.6,6.4,1,1.2,1.9,1.6,2.8,10.8,37,3
Zach Randolph,2001-02,1.2,2.6,0.449,0,0,,1.2,2.6,0.449,0.449,0.4,0.7,0.667,0.8,0.9,1.7,0.3,0.2,0.1,0.4,0.7,2.8,37,1
Zach Randolph,2002-03,3.4,6.7,0.513,0,0.1,0,3.4,6.6,0.518,0.513,1.6,2.1,0.758,1.8,2.6,4.5,0.5,0.5,0.2,0.8,1.8,8.4,37,2
Zach Randolph,2003-04,8.2,16.9,0.485,0,0.1,0.2,8.2,16.8,0.486,0.485,3.7,4.9,0.761,3,7.5,10.5,2,0.8,0.5,3,2.8,20.1,37,3
Derrick Favors,2010-11,2.8,5.3,0.517,0,0,,2.8,5.3,0.517,0.517,1.3,2.2,0.595,2.2,3.1,5.3,0.5,0.4,0.9,1,3.2,6.8,35,1
Derrick Favors,2011-12,3.4,6.8,0.499,0,0,,3.4,6.8,0.499,0.499,1.9,3,0.649,2.4,4.1,6.5,0.7,0.6,1,1.6,2.2,8.8,35,2
Derrick Favors,2012-13,3.6,7.4,0.482,0,0.1,0,3.6,7.3,0.487,0.482,2.3,3.4,0.688,2.4,4.7,7.1,1,0.9,1.7,1.7,3.2,9.4,35,3
Marresse Speights,2008-09,3.2,6.4,0.502,0,0.1,0.25,3.2,6.3,0.506,0.504,1.3,1.7,0.773,1.6,2.2,3.7,0.4,0.3,0.7,0.6,2.3,7.7,34,1
Marresse Speights,2009-10,3.4,7.2,0.477,0,0.1,0,3.4,7.1,0.483,0.477,1.7,2.3,0.745,1.4,2.7,4.1,0.6,0.5,0.5,0.8,2.5,8.6,34,2
